id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
1,1,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
2,1,B.Tech,ICT,OTHER,50,0,,,,,,,,,,
3,2,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
4,2,B.Tech,Artificial Intelligence & Machine Learning,CSE_AI_ML,50,0,,,,,,,,,,
5,2,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
6,2,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
7,2,B.Tech,Cloud Computing,OTHER,50,0,,,,,,,,,,
8,2,B.Tech,AI & Healthcare,OTHER,50,0,,,,,,,,,,
9,3,B.Tech,Computer Science,CSE_CORE,50,0,,,,,,,,,,
10,4,B.S,Digital Transformation,OTHER,45,0,,,,,,,,,,
11,4,B.S,Life Sciences,OTHER,45,0,,,,,,,,,,
12,4,B.S,Energy Sciences,OTHER,45,0,,,,,,,,,,
13,4,B.S,eMobility,OTHER,45,0,,,,,,,,,,
14,4,B.S,Business Management,OTHER,45,0,,,,,,,,,,
15,5,B.Tech,General Engineering,OTHER,50,0,,,,,,,,,,
16,5,B.Tech,CSE (AI & ML HCL),CSE_AI_ML,50,0,,,,,,,,,,
17,5,B.Tech,Artificial Intelligence ,CSE_AI_ML,50,0,,,,,,,,,,
18,5,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
19,5,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
20,5,B.Tech,Cloud Computing,OTHER,50,0,,,,,,,,,,
21,5,B.Tech,UX Design,OTHER,50,0,,,,,,,,,,
22,5,B.Tech,Full Stack,OTHER,50,0,,,,,,,,,,
23,6,B.E,CSE,OTHER,45,0,,,,,,,,,,
24,6,B.E,Artificial Intelligence & Machine Learning,CSE_AI_ML,45,0,,,,,,,,,,
25,6,B.E,ISE,OTHER,45,0,,,,,,,,,,
26,6,B.E,ECE,ELECTRONICS,45,0,,,,,,,,,,
27,6,B.E,Data Science,DATA_SCIENCE,45,0,,,,,,,,,,
28,6,B.E,Mechanical,MECHANICAL,45,0,,,,,,,,,,
29,6,B.E,Civil,CIVIL,45,0,,,,,,,,,,
30,6,B.E,EEE,ELECTRICAL,45,0,,,,,,,,,,
31,6,B.E,Mechatronics,MECHANICAL,45,0,,,,,,,,,,
32,6,B.E,Biotechnology,BIOTECH,45,0,,,,,,,,,,
33,7,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
34,7,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
35,7,B.Tech,Chemical,OTHER,50,0,,,,,,,,,,
36,7,B.Tech,EEE,ELECTRICAL,50,0,,,,,,,,,,
37,8,B.E,CSE,OTHER,50,0,,,,,,,,,,
38,8,B.E,Mechanical,MECHANICAL,50,0,,,,,,,,,,
39,8,B.E,ECE,ELECTRONICS,50,0,,,,,,,,,,
40,8,B.E,Mechatronics,MECHANICAL,50,0,,,,,,,,,,
41,8,B.E,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
42,8,B.E,Civil,CIVIL,50,0,,,,,,,,,,
43,8,B.E,EEE,ELECTRICAL,50,0,,,,,,,,,,
44,9,B.Tech,Aerospace,OTHER,50,0,,,,,,,,,,
45,9,B.Tech,Biotechnology,BIOTECH,50,0,,,,,,,,,,
46,9,B.Tech,Civil,CIVIL,50,0,,,,,,,,,,
47,9,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
48,9,B.Tech,EEE,ELECTRICAL,50,0,,,,,,,,,,
49,9,B.Tech,Production,MECHANICAL,50,0,,,,,,,,,,
50,9,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
51,10,B.Tech,Electronics & Communication Engineering,ELECTRONICS,60,0,,,,,,,,,,
52,10,B.Tech,Automobile Engineering,MECHANICAL,60,0,,,,,,,,,,
53,10,B.Tech,Electrical and Electronics Engineering,ELECTRICAL,60,0,,,,,,,,,,
54,10,B.Tech,Information Technology,CSE_CORE,60,0,,,,,,,,,,
55,10,B.Tech,Mechanical Engineering,MECHANICAL,60,0,,,,,,,,,,
