id,course_id,fee_year,total_fee,tuition_fee
1,1,2026,805980,805980
2,2,2026,805980,805980
3,3,2026,1099000,1099000
4,4,2026,1199000,1199000
5,5,2026,1199000,1199000
6,6,2026,1199000,1199000
7,7,2026,1199000,1199000
8,8,2026,1199000,1199000
9,9,2026,1949000,1949000
10,10,2026,2200000,2200000
11,11,2026,2200000,2200000
12,12,2026,2200000,2200000
13,13,2026,2200000,2200000
14,14,2026,2200000,2200000
15,15,2026,880000,880000
16,16,2026,980000,980000
17,17,2026,920000,920000
18,18,2026,920000,920000
19,19,2026,920000,920000
20,20,2026,920000,920000
21,21,2026,920000,920000
22,22,2026,920000,920000
23,23,2026,1046000,1046000
24,24,2026,1046000,1046000
25,25,2026,1046000,1046000
26,26,2026,1046000,1046000
27,27,2026,1046000,1046000
28,28,2026,684000,684000
29,29,2026,684000,684000
30,30,2026,684000,684000
31,31,2026,684000,684000
32,32,2026,684000,684000
33,33,2026,1500000,1500000
34,34,2026,1500000,1500000
35,35,2026,1500000,1500000
36,36,2026,1500000,1500000
37,37,2026,348000,348000
38,38,2026,348000,348000
39,39,2026,348000,348000
40,40,2026,348000,348000
41,41,2026,348000,348000
42,42,2026,348000,348000
43,43,2026,348000,348000
44,44,2026,1400000,1400000
45,45,2026,1000000,1000000
46,46,2026,800000,800000
47,47,2026,800000,800000
48,48,2026,800000,800000
49,49,2026,800000,800000
50,50,2026,1600000,1600000
51,51,2026,1400000,1400000
52,52,2026,1304000,1304000
53,53,2026,1168000,1168000
54,54,2026,1400000,1400000
55,55,2026,1168000,1168000
56,56,2026,948000,948000
57,57,2026,1168000,1168000
58,58,2026,908000,908000
59,59,2026,1400000,1400000
60,60,2026,748000,748000
61,61,2026,1016000,1016000
62,62,2026,1080000,1080000
63,63,2026,908000,908000
64,64,2026,1150000,1150000
65,65,2026,1080000,1080000
66,66,2026,1812000,1812000
67,67,2026,1532000,1532000
68,68,2026,1312000,1312000
69,69,2026,1312000,1312000
70,70,2026,1672000,1672000
71,71,2026,1312000,1312000
72,72,2026,948000,948000
73,73,2026,908000,908000
74,74,2026,1672000,1672000
75,75,2026,1244000,1244000
76,76,2026,1760000,1760000
77,77,2026,1672000,1672000
78,78,2026,1672000,1672000
79,79,2026,1388000,1388000
80,80,2026,1040000,1040000
81,81,2026,1116000,1116000
82,82,2026,2036000,2036000
83,83,2026,1244000,1244000
84,84,2026,1168000,1168000
85,85,2026,1760000,1760000
86,86,2026,1672000,1672000
87,87,2026,1760000,1760000
88,88,2026,1400000,1400000
89,89,2026,1760000,1760000
90,90,2026,1760000,1760000
91,91,2026,1760000,1760000
92,92,2026,1172000,1172000
93,93,2026,1480000,1480000
94,94,2026,856000,856000
95,95,2026,856000,856000
96,96,2026,856000,856000
97,97,2026,856000,856000
98,98,2026,856000,856000
99,99,2026,1280000,1280000
100,100,2026,1568000,1568000
101,101,2026,1568000,1568000
102,102,2026,1568000,1568000
103,103,2026,1568000,1568000
104,104,2026,936000,936000
105,105,2026,824000,824000
106,106,2026,856000,856000
107,107,2026,1584000,1584000
108,108,2026,856000,856000
109,109,2026,1855000,1900000
110,110,2026,1570000,1615000
111,111,2026,1490000,1535000
112,112,2026,1490000,1535000
113,113,2026,1490000,1535000
114,114,2026,1490000,1535000
115,115,2026,1490000,1535000
116,116,2026,800000,800000
117,117,2026,800000,800000
118,118,2026,800000,800000
119,119,2026,800000,800000
120,120,2026,800000,800000
121,121,2026,800000,800000
122,122,2026,800000,800000
123,123,2026,800000,800000
124,124,2026,800000,800000
125,125,2026,800000,800000
126,126,2026,1640000,1640000
127,127,2026,1460000,1460000
128,128,2026,1460000,1460000
129,129,2026,1400000,1400000
130,130,2026,1800000,1800000
131,131,2026,1800000,1800000
132,132,2026,2400000,2400000
133,133,2026,1600000,1600000
134,134,2026,4000000,4000000
135,135,2026,1000000,1000000
136,136,2026,1800000,1800000
137,137,2026,3400000,3400000
138,138,2026,3200000,3200000
139,139,2026,3400000,3400000
140,140,2026,3400000,3400000
141,141,2026,3200000,3200000
142,142,2026,160000,160000
143,143,2026,160000,160000
144,144,2026,160000,160000
145,145,2026,160000,160000
146,146,2026,160000,160000
147,147,2026,160000,160000
148,148,2026,160000,160000
149,149,2026,160000,160000
150,150,2026,160000,160000
151,151,2026,1365000,1365000
152,152,2026,1365000,1365000
153,153,2026,1165000,1165000
154,154,2026,845000,845000
155,155,2026,845000,845000
156,156,2026,1065000,1065000
157,157,2026,1065000,1065000
158,158,2026,1065000,1065000
159,159,2026,1065000,1065000
160,160,2026,905000,905000
161,161,2026,1224000,1224000
162,162,2026,904000,904000
163,163,2026,1116000,1116000
164,164,2026,944000,944000
165,165,2026,900000,900000
