id,college_id,criteria_type,min_value,max_value,scholarship_percent,scholarship_type,stackable,priority
1,1,JEE_RANK,1,50000,100,PERCENT,FALSE,1
2,2,JEE_PERCENTILE,97,100,100,PERCENT,FALSE,1
3,2,JEE_PERCENTILE,90,96.99,75,PERCENT,TRUE,2
4,2,JEE_PERCENTILE,85,89.99,50,PERCENT,TRUE,3
5,2,BOARD_PERCENTAGE,95,100,25,PERCENT,TRUE,4
6,2,BOARD_PERCENTAGE,90,94.99,20,PERCENT,TRUE,5
7,2,BOARD_PERCENTAGE,85,89.99,15,PERCENT,TRUE,6
8,2,BOARD_PERCENTAGE,75,84.99,10,PERCENT,TRUE,7
9,5,JEE_RANK,1,25000,100,PERCENT,FALSE,1
10,5,JEE_RANK,25001,35000,75,PERCENT,TRUE,2
11,5,JEE_RANK,35001,45000,50,PERCENT,TRUE,3
12,5,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,4
13,5,BOARD_PERCENTAGE,90,94.99,50,PERCENT,TRUE,5
14,5,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,6
15,5,SPORTS,INTERNATIONAL,INTERNATIONAL,50,PERCENT,TRUE,7
16,5,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,35,PERCENT,TRUE,8
17,5,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,15,PERCENT,TRUE,9
18,9,JEE_PERCENTILE,95,100,50,PERCENT,FALSE,1
19,9,JEE_PERCENTILE,90,94.99,25,PERCENT,TRUE,2
20,9,BOARD_PERCENTAGE,95,100,50,PERCENT,TRUE,3
21,9,BOARD_PERCENTAGE,90,94.99,50,PERCENT,TRUE,4
22,9,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,5
23,9,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,6
24,9,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,80,PERCENT,TRUE,7
25,9,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,70,PERCENT,TRUE,8
26,9,SPORTS,STATE,STATE,80,PERCENT,TRUE,9
27,10,BOARD_PERCENTAGE,95,100,100,PERCENT,FALSE,3
28,10,BOARD_PERCENTAGE,88,94.99,50,PERCENT,TRUE,4
29,10,BOARD_PERCENTAGE,75,86.99,25,PERCENT,TRUE,5
30,10,JEE_PERCENTILE,97,100,100,PERCENT,TRUE,1
31,10,JEE_PERCENTILE,94,96.99,50,PERCENT,TRUE,2
32,10,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,6
33,10,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,50,PERCENT,TRUE,7
34,10,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,25,PERCENT,TRUE,8
35,11,BOARD_PERCENTAGE,95,100,100,PERCENT,FALSE,3
36,11,BOARD_PERCENTAGE,88,94.99,50,PERCENT,TRUE,4
37,11,BOARD_PERCENTAGE,75,86.99,25,PERCENT,TRUE,5
38,11,JEE_PERCENTILE,97,100,100,PERCENT,TRUE,1
39,11,JEE_PERCENTILE,94,96.99,50,PERCENT,TRUE,2
40,11,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,6
41,11,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,50,PERCENT,TRUE,7
42,11,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,25,PERCENT,TRUE,8
43,22,JEE_PERCENTILE,95,100,100,PERCENT,FALSE,1
44,22,JEE_PERCENTILE,90,94.99,50,PERCENT,TRUE,2
45,22,BOARD_PERCENTAGE,95,100,50,PERCENT,TRUE,3
46,23,BOARD_PERCENTAGE,90,100,50,PERCENT,FALSE,1
47,23,BOARD_PERCENTAGE,75,89.99,25,PERCENT,TRUE,2
48,24,JEE_PERCENTILE,95,100,100,PERCENT,FALSE,1
49,24,JEE_PERCENTILE,90,94.99,50,PERCENT,TRUE,2
50,24,BOARD_PERCENTAGE,90,100,25,PERCENT,TRUE,3
51,25,JEE_PERCENTILE,95,100,75,PERCENT,FALSE,1
52,25,BOARD_PERCENTAGE,90,100,25,PERCENT,TRUE,2
53,26,BOARD_PERCENTAGE,90,100,50,PERCENT,FALSE,1
54,26,BOARD_PERCENTAGE,75,89.99,25,PERCENT,TRUE,2
55,27,BOARD_PERCENTAGE,85,94.99,50,PERCENT,FALSE,1
56,27,BOARD_PERCENTAGE,70,84.99,25,PERCENT,TRUE,2
57,29,JEE_RANK,1,25000,100,PERCENT,FALSE,1
58,29,JEE_RANK,25001,50000,75,PERCENT,TRUE,2
59,29,JEE_RANK,50001,75000,50,PERCENT,TRUE,3
60,29,JEE_RANK,75001,100000,20,PERCENT,TRUE,4
61,29,JEE_RANK,100001,125000,10,PERCENT,TRUE,5
62,29,BOARD_PERCENTAGE,90,100,50,PERCENT,TRUE,6
63,29,BOARD_PERCENTAGE,85,89.99,20,PERCENT,TRUE,7
64,29,BOARD_PERCENTAGE,80,84.99,10,PERCENT,TRUE,8
65,29,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,9
66,29,SPORTS,NATIONAL_MEDAL,NATIONAL_MEDAL,75,PERCENT,TRUE,10
67,29,SPORTS,NATIONAL_PARTICIPATION,NATIONAL_PARTICIPATION,50,PERCENT,TRUE,11
68,30,BOARD_PERCENTAGE,90,100,50,PERCENT,FALSE,1
69,30,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,2
70,31,JEE_PERCENTILE,95,100,50,PERCENT,FALSE,1
71,31,JEE_PERCENTILE,90,94.99,25,PERCENT,TRUE,2
72,31,BOARD_PERCENTAGE,90,100,25,PERCENT,TRUE,3
73,33,JEE_PERCENTILE,95,100,50,PERCENT,FALSE,1
74,33,BOARD_PERCENTAGE,90,100,25,PERCENT,TRUE,2
75,37,JEE_RANK,1,50000,100,PERCENT,FALSE,1
76,37,JEE_RANK,50001,80000,50,PERCENT,TRUE,2
77,37,BOARD_PERCENTAGE,90,100,50,PERCENT,TRUE,3
78,37,BOARD_PERCENTAGE,80,89.99,25,PERCENT,TRUE,4
79,40,JEE_PERCENTILE,95,100,50,PERCENT,FALSE,1
80,40,BOARD_PERCENTAGE,95,100,50,PERCENT,TRUE,2
81,42,BOARD_PERCENTAGE,95,100,100,PERCENT,FALSE,2
82,42,BOARD_PERCENTAGE,92,94.99,50,PERCENT,TRUE,3
83,42,JEE_PERCENTILE,90,100,50,PERCENT,TRUE,1
84,43,JEE_PERCENTILE,95,100,100,PERCENT,FALSE,1
85,43,BOARD_PERCENTAGE,95,100,75,PERCENT,TRUE,2
86,44,JEE_PERCENTILE,95,100,100,PERCENT,FALSE,1
87,44,BOARD_PERCENTAGE,95,100,75,PERCENT,TRUE,2
88,45,JEE_PERCENTILE,95,100,100,PERCENT,FALSE,1
89,45,BOARD_PERCENTAGE,95,100,75,PERCENT,TRUE,2
90,48,JEE_PERCENTILE,97,100,100,PERCENT,FALSE,5
91,48,JEE_PERCENTILE,95,96.99,75,PERCENT,TRUE,6
92,48,JEE_PERCENTILE,90,94.99,50,PERCENT,TRUE,7
93,48,JEE_PERCENTILE,85,89.99,25,PERCENT,TRUE,8
94,48,JEE_RANK,1,500,100,PERCENT,TRUE,1
95,48,JEE_RANK,501,1000,75,PERCENT,TRUE,2
96,48,JEE_RANK,1001,5000,50,PERCENT,TRUE,3
97,48,JEE_RANK,5001,10000,25,PERCENT,TRUE,4
98,48,BOARD_PERCENTAGE,98,100,75,PERCENT,TRUE,9
99,48,BOARD_PERCENTAGE,96,97.99,50,PERCENT,TRUE,10
100,48,BOARD_PERCENTAGE,90,95.99,25,PERCENT,TRUE,11
101,48,SPORTS,INTERNATIONAL,INTERNATIONAL,100,PERCENT,TRUE,12
102,48,SPORTS,NATIONAL,NATIONAL,75,PERCENT,TRUE,13
103,48,SPORTS,STATE,STATE,25,PERCENT,TRUE,14
104,49,BOARD_PERCENTAGE,95,100,30,PERCENT,TRUE,4
105,49,BOARD_PERCENTAGE,90,94.99,20,PERCENT,TRUE,5
106,49,BOARD_PERCENTAGE,85,89.99,15,PERCENT,TRUE,6
107,49,JEE_PERCENTILE,99,100,30,PERCENT,TRUE,1
108,49,JEE_PERCENTILE,97,98.99,20,PERCENT,TRUE,2
109,49,JEE_PERCENTILE,90,96.99,10,PERCENT,TRUE,3
110,51,BOARD_PERCENTAGE,95,100,100,PERCENT,TRUE,1
111,51,BOARD_PERCENTAGE,90,94.99,50,PERCENT,TRUE,2
